sample_id,latitude,longitude,prismatic,ldr,bdr,lbr,froude,residuary_resistance
0,0,-2.3,0.568,4.78,3.99,3.17,0.125,0.11
1,0,-2.3,0.568,4.78,3.99,3.17,0.15,0.27
2,0,-2.3,0.568,4.78,3.99,3.17,0.175,0.47
3,0,-2.3,0.568,4.78,3.99,3.17,0.2,0.78
4,0,-2.3,0.568,4.78,3.99,3.17,0.225,1.18
5,0,-2.3,0.568,4.78,3.99,3.17,0.25,1.82
6,0,-2.3,0.568,4.78,3.99,3.17,0.275,2.61
7,0,-2.3,0.568,4.78,3.99,3.17,0.3,3.76
8,0,-2.3,0.568,4.78,3.99,3.17,0.325,4.99
9,0,-2.3,0.568,4.78,3.99,3.17,0.35,7.16
10,0,-2.3,0.568,4.78,3.99,3.17,0.375,11.93
11,0,-2.3,0.568,4.78,3.99,3.17,0.4,20.11
12,0,-2.3,0.568,4.78,3.99,3.17,0.425,32.75
13,0,-2.3,0.568,4.78,3.99,3.17,0.45,49.49
14,0,-2.3,0.569,4.78,3.04,3.64,0.125,0.04
15,0,-2.3,0.569,4.78,3.04,3.64,0.15,0.17
16,0,-2.3,0.569,4.78,3.04,3.64,0.175,0.37
17,0,-2.3,0.569,4.78,3.04,3.64,0.2,0.66
18,0,-2.3,0.569,4.78,3.04,3.64,0.225,1.06
19,0,-2.3,0.569,4.78,3.04,3.64,0.25,1.59
20,0,-2.3,0.569,4.78,3.04,3.64,0.275,2.33
21,0,-2.3,0.569,4.78,3.04,3.64,0.3,3.29
22,0,-2.3,0.569,4.78,3.04,3.64,0.325,4.61
23,0,-2.3,0.569,4.78,3.04,3.64,0.35,7.11
24,0,-2.3,0.569,4.78,3.04,3.64,0.375,11.99
25,0,-2.3,0.569,4.78,3.04,3.64,0.4,21.09
26,0,-2.3,0.569,4.78,3.04,3.64,0.425,35.01
27,0,-2.3,0.569,4.78,3.04,3.64,0.45,51.8
28,0,-2.3,0.565,4.78,5.35,2.76,0.125,0.09
29,0,-2.3,0.565,4.78,5.35,2.76,0.15,0.29
30,0,-2.3,0.565,4.78,5.35,2.76,0.175,0.56
31,0,-2.3,0.565,4.78,5.35,2.76,0.2,0.86
32,0,-2.3,0.565,4.78,5.35,2.76,0.225,1.31
33,0,-2.3,0.565,4.78,5.35,2.76,0.25,1.99
34,0,-2.3,0.565,4.78,5.35,2.76,0.275,2.94
35,0,-2.3,0.565,4.78,5.35,2.76,0.3,4.21
36,0,-2.3,0.565,4.78,5.35,2.76,0.325,5.54
37,0,-2.3,0.565,4.78,5.35,2.76,0.35,8.25
38,0,-2.3,0.565,4.78,5.35,2.76,0.375,13.08
39,0,-2.3,0.565,4.78,5.35,2.76,0.4,21.4
40,0,-2.3,0.565,4.78,5.35,2.76,0.425,33.14
41,0,-2.3,0.565,4.78,5.35,2.76,0.45,50.14
42,0,-2.3,0.564,5.1,3.95,3.53,0.125,0.2
43,0,-2.3,0.564,5.1,3.95,3.53,0.15,0.35
44,0,-2.3,0.564,5.1,3.95,3.53,0.175,0.65
45,0,-2.3,0.564,5.1,3.95,3.53,0.2,0.93
46,0,-2.3,0.564,5.1,3.95,3.53,0.225,1.37
47,0,-2.3,0.564,5.1,3.95,3.53,0.25,1.97
48,0,-2.3,0.564,5.1,3.95,3.53,0.275,2.83
49,0,-2.3,0.564,5.1,3.95,3.53,0.3,3.99
50,0,-2.3,0.564,5.1,3.95,3.53,0.325,5.19
51,0,-2.3,0.564,5.1,3.95,3.53,0.35,8.03
52,0,-2.3,0.564,5.1,3.95,3.53,0.375,12.86
53,0,-2.3,0.564,5.1,3.95,3.53,0.4,21.51
54,0,-2.3,0.564,5.1,3.95,3.53,0.425,33.97
55,0,-2.3,0.564,5.1,3.95,3.53,0.45,50.36
56,0,-2.4,0.574,4.36,3.96,2.76,0.125,0.2
57,0,-2.4,0.574,4.36,3.96,2.76,0.15,0.35
58,0,-2.4,0.574,4.36,3.96,2.76,0.175,0.65
59,0,-2.4,0.574,4.36,3.96,2.76,0.2,0.93
60,0,-2.4,0.574,4.36,3.96,2.76,0.225,1.37
61,0,-2.4,0.574,4.36,3.96,2.76,0.25,1.97
62,0,-2.4,0.574,4.36,3.96,2.76,0.275,2.83
63,0,-2.4,0.574,4.36,3.96,2.76,0.3,3.99
64,0,-2.4,0.574,4.36,3.96,2.76,0.325,5.19
65,0,-2.4,0.574,4.36,3.96,2.76,0.35,8.03
66,0,-2.4,0.574,4.36,3.96,2.76,0.375,12.86
67,0,-2.4,0.574,4.36,3.96,2.76,0.4,21.51
68,0,-2.4,0.574,4.36,3.96,2.76,0.425,33.97
69,0,-2.4,0.574,4.36,3.96,2.76,0.45,50.36
70,0,-2.4,0.568,4.34,2.98,3.15,0.125,0.12
71,0,-2.4,0.568,4.34,2.98,3.15,0.15,0.26
72,0,-2.4,0.568,4.34,2.98,3.15,0.175,0.43
73,0,-2.4,0.568,4.34,2.98,3.15,0.2,0.69
74,0,-2.4,0.568,4.34,2.98,3.15,0.225,1.09
75,0,-2.4,0.568,4.34,2.98,3.15,0.25,1.67
76,0,-2.4,0.568,4.34,2.98,3.15,0.275,2.46
77,0,-2.4,0.568,4.34,2.98,3.15,0.3,3.43
78,0,-2.4,0.568,4.34,2.98,3.15,0.325,4.62
79,0,-2.4,0.568,4.34,2.98,3.15,0.35,6.86
80,0,-2.4,0.568,4.34,2.98,3.15,0.375,11.56
81,0,-2.4,0.568,4.34,2.98,3.15,0.4,20.63
82,0,-2.4,0.568,4.34,2.98,3.15,0.425,34.5
83,0,-2.4,0.568,4.34,2.98,3.15,0.45,54.23
84,0,-2.3,0.562,5.14,4.95,3.17,0.125,0.28
85,0,-2.3,0.562,5.14,4.95,3.17,0.15,0.44
86,0,-2.3,0.562,5.14,4.95,3.17,0.175,0.7
87,0,-2.3,0.562,5.14,4.95,3.17,0.2,1.07
88,0,-2.3,0.562,5.14,4.95,3.17,0.225,1.57
89,0,-2.3,0.562,5.14,4.95,3.17,0.25,2.23
90,0,-2.3,0.562,5.14,4.95,3.17,0.275,3.09
91,0,-2.3,0.562,5.14,4.95,3.17,0.3,4.09
92,0,-2.3,0.562,5.14,4.95,3.17,0.325,5.82
93,0,-2.3,0.562,5.14,4.95,3.17,0.35,8.28
94,0,-2.3,0.562,5.14,4.95,3.17,0.375,12.8
95,0,-2.3,0.562,5.14,4.95,3.17,0.4,20.41
96,0,-2.3,0.562,5.14,4.95,3.17,0.425,32.34
97,0,-2.3,0.562,5.14,4.95,3.17,0.45,47.29
98,0,-2.4,0.585,4.78,3.84,3.32,0.125,0.2
99,0,-2.4,0.585,4.78,3.84,3.32,0.15,0.38
100,0,-2.4,0.585,4.78,3.84,3.32,0.175,0.64
101,0,-2.4,0.585,4.78,3.84,3.32,0.2,0.97
102,0,-2.4,0.585,4.78,3.84,3.32,0.225,1.36
103,0,-2.4,0.585,4.78,3.84,3.32,0.25,1.98
104,0,-2.4,0.585,4.78,3.84,3.32,0.275,2.91
105,0,-2.4,0.585,4.78,3.84,3.32,0.3,4.35
106,0,-2.4,0.585,4.78,3.84,3.32,0.325,5.79
107,0,-2.4,0.585,4.78,3.84,3.32,0.35,8.04
108,0,-2.4,0.585,4.78,3.84,3.32,0.375,12.15
109,0,-2.4,0.585,4.78,3.84,3.32,0.4,19.18
110,0,-2.4,0.585,4.78,3.84,3.32,0.425,30.09
111,0,-2.4,0.585,4.78,3.84,3.32,0.45,44.38
112,0,-2.2,0.546,4.78,4.13,3.07,0.125,0.15
113,0,-2.2,0.546,4.78,4.13,3.07,0.15,0.32
114,0,-2.2,0.546,4.78,4.13,3.07,0.175,0.55
115,0,-2.2,0.546,4.78,4.13,3.07,0.2,0.86
116,0,-2.2,0.546,4.78,4.13,3.07,0.225,1.24
117,0,-2.2,0.546,4.78,4.13,3.07,0.25,1.76
118,0,-2.2,0.546,4.78,4.13,3.07,0.275,2.49
119,0,-2.2,0.546,4.78,4.13,3.07,0.3,3.45
120,0,-2.2,0.546,4.78,4.13,3.07,0.325,4.83
121,0,-2.2,0.546,4.78,4.13,3.07,0.35,7.37
122,0,-2.2,0.546,4.78,4.13,3.07,0.375,12.76
123,0,-2.2,0.546,4.78,4.13,3.07,0.4,21.99
124,0,-2.2,0.546,4.78,4.13,3.07,0.425,35.64
125,0,-2.2,0.546,4.78,4.13,3.07,0.45,53.07
126,0,0,0.565,4.77,3.99,3.15,0.125,0.11
127,0,0,0.565,4.77,3.99,3.15,0.15,0.24
128,0,0,0.565,4.77,3.99,3.15,0.175,0.49
129,0,0,0.565,4.77,3.99,3.15,0.2,0.79
130,0,0,0.565,4.77,3.99,3.15,0.225,1.28
131,0,0,0.565,4.77,3.99,3.15,0.25,1.96
132,0,0,0.565,4.77,3.99,3.15,0.275,2.88
133,0,0,0.565,4.77,3.99,3.15,0.3,4.14
134,0,0,0.565,4.77,3.99,3.15,0.325,5.96
135,0,0,0.565,4.77,3.99,3.15,0.35,9.07
136,0,0,0.565,4.77,3.99,3.15,0.375,14.93
137,0,0,0.565,4.77,3.99,3.15,0.4,24.13
138,0,0,0.565,4.77,3.99,3.15,0.425,38.12
139,0,0,0.565,4.77,3.99,3.15,0.45,55.44
140,0,-5,0.565,4.77,3.99,3.15,0.125,0.07
141,0,-5,0.565,4.77,3.99,3.15,0.15,0.18
142,0,-5,0.565,4.77,3.99,3.15,0.175,0.4
143,0,-5,0.565,4.77,3.99,3.15,0.2,0.7
144,0,-5,0.565,4.77,3.99,3.15,0.225,1.14
145,0,-5,0.565,4.77,3.99,3.15,0.25,1.83
146,0,-5,0.565,4.77,3.99,3.15,0.275,2.77
147,0,-5,0.565,4.77,3.99,3.15,0.3,4.12
148,0,-5,0.565,4.77,3.99,3.15,0.325,5.41
149,0,-5,0.565,4.77,3.99,3.15,0.35,7.87
150,0,-5,0.565,4.77,3.99,3.15,0.375,12.71
151,0,-5,0.565,4.77,3.99,3.15,0.4,21.02
152,0,-5,0.565,4.77,3.99,3.15,0.425,34.58
153,0,-5,0.565,4.77,3.99,3.15,0.45,51.77
154,0,0,0.565,5.1,3.94,3.51,0.125,0.08
155,0,0,0.565,5.1,3.94,3.51,0.15,0.26
156,0,0,0.565,5.1,3.94,3.51,0.175,0.5
157,0,0,0.565,5.1,3.94,3.51,0.2,0.83
158,0,0,0.565,5.1,3.94,3.51,0.225,1.28
159,0,0,0.565,5.1,3.94,3.51,0.25,1.9
160,0,0,0.565,5.1,3.94,3.51,0.275,2.68
161,0,0,0.565,5.1,3.94,3.51,0.3,3.76
162,0,0,0.565,5.1,3.94,3.51,0.325,5.57
163,0,0,0.565,5.1,3.94,3.51,0.35,8.76
164,0,0,0.565,5.1,3.94,3.51,0.375,14.24
165,0,0,0.565,5.1,3.94,3.51,0.4,23.05
166,0,0,0.565,5.1,3.94,3.51,0.425,35.46
167,0,0,0.565,5.1,3.94,3.51,0.45,51.99
168,0,-5,0.565,5.1,3.94,3.51,0.125,0.08
169,0,-5,0.565,5.1,3.94,3.51,0.15,0.24
170,0,-5,0.565,5.1,3.94,3.51,0.175,0.45
171,0,-5,0.565,5.1,3.94,3.51,0.2,0.77
172,0,-5,0.565,5.1,3.94,3.51,0.225,1.19
173,0,-5,0.565,5.1,3.94,3.51,0.25,1.76
174,0,-5,0.565,5.1,3.94,3.51,0.275,2.59
175,0,-5,0.565,5.1,3.94,3.51,0.3,3.85
176,0,-5,0.565,5.1,3.94,3.51,0.325,5.27
177,0,-5,0.565,5.1,3.94,3.51,0.35,7.74
178,0,-5,0.565,5.1,3.94,3.51,0.375,12.4
179,0,-5,0.565,5.1,3.94,3.51,0.4,20.91
180,0,-5,0.565,5.1,3.94,3.51,0.425,33.23
181,0,-5,0.565,5.1,3.94,3.51,0.45,49.14
182,0,-2.3,0.53,5.11,3.69,3.51,0.125,0.08
183,0,-2.3,0.53,5.11,3.69,3.51,0.15,0.25
184,0,-2.3,0.53,5.11,3.69,3.51,0.175,0.46
185,0,-2.3,0.53,5.11,3.69,3.51,0.2,0.75
186,0,-2.3,0.53,5.11,3.69,3.51,0.225,1.11
187,0,-2.3,0.53,5.11,3.69,3.51,0.25,1.57
188,0,-2.3,0.53,5.11,3.69,3.51,0.275,2.17
189,0,-2.3,0.53,5.11,3.69,3.51,0.3,2.98
190,0,-2.3,0.53,5.11,3.69,3.51,0.325,4.42
191,0,-2.3,0.53,5.11,3.69,3.51,0.35,7.84
192,0,-2.3,0.53,5.11,3.69,3.51,0.375,14.11
193,0,-2.3,0.53,5.11,3.69,3.51,0.4,24.14
194,0,-2.3,0.53,5.11,3.69,3.51,0.425,37.95
195,0,-2.3,0.53,5.11,3.69,3.51,0.45,55.17
196,0,-2.3,0.53,4.76,3.68,3.16,0.125,0.1
197,0,-2.3,0.53,4.76,3.68,3.16,0.15,0.23
198,0,-2.3,0.53,4.76,3.68,3.16,0.175,0.47
199,0,-2.3,0.53,4.76,3.68,3.16,0.2,0.76
200,0,-2.3,0.53,4.76,3.68,3.16,0.225,1.15
201,0,-2.3,0.53,4.76,3.68,3.16,0.25,1.65
202,0,-2.3,0.53,4.76,3.68,3.16,0.275,2.28
203,0,-2.3,0.53,4.76,3.68,3.16,0.3,3.09
204,0,-2.3,0.53,4.76,3.68,3.16,0.325,4.41
205,0,-2.3,0.53,4.76,3.68,3.16,0.35,7.51
206,0,-2.3,0.53,4.76,3.68,3.16,0.375,13.77
207,0,-2.3,0.53,4.76,3.68,3.16,0.4,23.96
208,0,-2.3,0.53,4.76,3.68,3.16,0.425,37.38
209,0,-2.3,0.53,4.76,3.68,3.16,0.45,56.46
210,0,-2.3,0.53,4.34,2.81,3.15,0.125,0.05
211,0,-2.3,0.53,4.34,2.81,3.15,0.15,0.17
212,0,-2.3,0.53,4.34,2.81,3.15,0.175,0.35
213,0,-2.3,0.53,4.34,2.81,3.15,0.2,0.63
214,0,-2.3,0.53,4.34,2.81,3.15,0.225,1.01
215,0,-2.3,0.53,4.34,2.81,3.15,0.25,1.43
216,0,-2.3,0.53,4.34,2.81,3.15,0.275,2.05
217,0,-2.3,0.53,4.34,2.81,3.15,0.3,2.73
218,0,-2.3,0.53,4.34,2.81,3.15,0.325,3.87
219,0,-2.3,0.53,4.34,2.81,3.15,0.35,7.19
220,0,-2.3,0.53,4.34,2.81,3.15,0.375,13.96
221,0,-2.3,0.53,4.34,2.81,3.15,0.4,25.18
222,0,-2.3,0.53,4.34,2.81,3.15,0.425,41.34
223,0,-2.3,0.53,4.34,2.81,3.15,0.45,62.42
224,0,0,0.6,4.78,4.24,3.15,0.125,0.03
225,0,0,0.6,4.78,4.24,3.15,0.15,0.18
226,0,0,0.6,4.78,4.24,3.15,0.175,0.4
227,0,0,0.6,4.78,4.24,3.15,0.2,0.73
228,0,0,0.6,4.78,4.24,3.15,0.225,1.3
229,0,0,0.6,4.78,4.24,3.15,0.25,2.16
230,0,0,0.6,4.78,4.24,3.15,0.275,3.35
231,0,0,0.6,4.78,4.24,3.15,0.3,5.06
232,0,0,0.6,4.78,4.24,3.15,0.325,7.14
233,0,0,0.6,4.78,4.24,3.15,0.35,10.36
234,0,0,0.6,4.78,4.24,3.15,0.375,15.25
235,0,0,0.6,4.78,4.24,3.15,0.4,23.15
236,0,0,0.6,4.78,4.24,3.15,0.425,34.62
237,0,0,0.6,4.78,4.24,3.15,0.45,51.5
238,0,-5,0.6,4.78,4.24,3.15,0.125,0.06
239,0,-5,0.6,4.78,4.24,3.15,0.15,0.15
240,0,-5,0.6,4.78,4.24,3.15,0.175,0.34
241,0,-5,0.6,4.78,4.24,3.15,0.2,0.63
242,0,-5,0.6,4.78,4.24,3.15,0.225,1.13
243,0,-5,0.6,4.78,4.24,3.15,0.25,1.85
244,0,-5,0.6,4.78,4.24,3.15,0.275,2.84
245,0,-5,0.6,4.78,4.24,3.15,0.3,4.34
246,0,-5,0.6,4.78,4.24,3.15,0.325,6.2
247,0,-5,0.6,4.78,4.24,3.15,0.35,8.62
248,0,-5,0.6,4.78,4.24,3.15,0.375,12.49
249,0,-5,0.6,4.78,4.24,3.15,0.4,20.41
250,0,-5,0.6,4.78,4.24,3.15,0.425,32.46
251,0,-5,0.6,4.78,4.24,3.15,0.45,50.94
252,0,0,0.53,4.78,3.75,3.15,0.125,0.16
253,0,0,0.53,4.78,3.75,3.15,0.15,0.32
254,0,0,0.53,4.78,3.75,3.15,0.175,0.59
255,0,0,0.53,4.78,3.75,3.15,0.2,0.92
256,0,0,0.53,4.78,3.75,3.15,0.225,1.37
257,0,0,0.53,4.78,3.75,3.15,0.25,1.94
258,0,0,0.53,4.78,3.75,3.15,0.275,2.62
259,0,0,0.53,4.78,3.75,3.15,0.3,3.7
260,0,0,0.53,4.78,3.75,3.15,0.325,5.45
261,0,0,0.53,4.78,3.75,3.15,0.35,9.45
262,0,0,0.53,4.78,3.75,3.15,0.375,16.31
263,0,0,0.53,4.78,3.75,3.15,0.4,27.34
264,0,0,0.53,4.78,3.75,3.15,0.425,41.77
265,0,0,0.53,4.78,3.75,3.15,0.45,60.85
266,0,-5,0.53,4.78,3.75,3.15,0.125,0.09
267,0,-5,0.53,4.78,3.75,3.15,0.15,0.24
268,0,-5,0.53,4.78,3.75,3.15,0.175,0.47
269,0,-5,0.53,4.78,3.75,3.15,0.2,0.78
270,0,-5,0.53,4.78,3.75,3.15,0.225,1.21
271,0,-5,0.53,4.78,3.75,3.15,0.25,1.85
272,0,-5,0.53,4.78,3.75,3.15,0.275,2.62
273,0,-5,0.53,4.78,3.75,3.15,0.3,3.69
274,0,-5,0.53,4.78,3.75,3.15,0.325,5.07
275,0,-5,0.53,4.78,3.75,3.15,0.35,7.95
276,0,-5,0.53,4.78,3.75,3.15,0.375,13.73
277,0,-5,0.53,4.78,3.75,3.15,0.4,23.55
278,0,-5,0.53,4.78,3.75,3.15,0.425,37.14
279,0,-5,0.53,4.78,3.75,3.15,0.45,55.87
280,0,-2.3,0.6,5.1,4.17,3.51,0.125,0.01
281,0,-2.3,0.6,5.1,4.17,3.51,0.15,0.16
282,0,-2.3,0.6,5.1,4.17,3.51,0.175,0.39
283,0,-2.3,0.6,5.1,4.17,3.51,0.2,0.73
284,0,-2.3,0.6,5.1,4.17,3.51,0.225,1.24
285,0,-2.3,0.6,5.1,4.17,3.51,0.25,1.96
286,0,-2.3,0.6,5.1,4.17,3.51,0.275,3.04
287,0,-2.3,0.6,5.1,4.17,3.51,0.3,4.46
288,0,-2.3,0.6,5.1,4.17,3.51,0.325,6.31
289,0,-2.3,0.6,5.1,4.17,3.51,0.35,8.68
290,0,-2.3,0.6,5.1,4.17,3.51,0.375,12.39
291,0,-2.3,0.6,5.1,4.17,3.51,0.4,20.14
292,0,-2.3,0.6,5.1,4.17,3.51,0.425,31.77
293,0,-2.3,0.6,5.1,4.17,3.51,0.45,47.13
294,0,-2.3,0.6,4.34,4.23,2.73,0.125,0.04
295,0,-2.3,0.6,4.34,4.23,2.73,0.15,0.17
296,0,-2.3,0.6,4.34,4.23,2.73,0.175,0.36
297,0,-2.3,0.6,4.34,4.23,2.73,0.2,0.64
298,0,-2.3,0.6,4.34,4.23,2.73,0.225,1.02
299,0,-2.3,0.6,4.34,4.23,2.73,0.25,1.62
300,0,-2.3,0.6,4.34,4.23,2.73,0.275,2.63
301,0,-2.3,0.6,4.34,4.23,2.73,0.3,4.15
302,0,-2.3,0.6,4.34,4.23,2.73,0.325,6
303,0,-2.3,0.6,4.34,4.23,2.73,0.35,8.47
304,0,-2.3,0.6,4.34,4.23,2.73,0.375,12.27
305,0,-2.3,0.6,4.34,4.23,2.73,0.4,19.59
306,0,-2.3,0.6,4.34,4.23,2.73,0.425,30.48
307,0,-2.3,0.6,4.34,4.23,2.73,0.45,46.66
